,content,labels
120,赵雷你是练习时长两年半了吗,1
121,这歌竟然能下载免费的,1
122,小胡,1
123,没去过成都但我相信因为这首歌给这座城市创收带来了不小贡献,4
124,他应该过得很好你要过得更好哦,1
125,祝你开心也不要谈恋爱太快哦,1
126,昆明理工,1
127,许久不听了再听依旧有些许触动艾特那些忘不掉的人和事,1
128,替他们照顾好自己,1
129,小晴要早睡无论你见不见我我都要去一趟成都去到你家小区楼下我放不下我就希望能见见你对的起我们之间的感情哪怕你当面说不合适我会立马就走,7
130,我就想什么都不想内心平静的爱家人爱自己的生活,1
131,没读大学,1
132,人正在听,1
133,祝福,9
134,百听不厌,1
135,我考上了电子科大,1
136,好听重复无数遍了,9
137,恭喜,1
138,那现在大学快毕业了吧,1
139,我也和她相约过出国可是估计我暂时出不去了没机会相遇了,1
140,考研吗恭喜,1
141,我被清华录取了挺开心的但是我和他没考上同一所大学清华是你的梦想啊没有你的大学生活好枯燥,1
142,成年人的崩溃真的好难受呀,1
143,加油,9
144,还有这么多人听啊在网易云听的第一首歌就是成都,4
145,怎么样了,1
146,成功了吗,1
147,还是喜欢成都啊,0
148,这首歌包含了我很多的回忆啊,1
149,去年独自在成都生活了一年除了有时有些孤独我真的好喜欢成都啊,10
150,分别总是在九月回忆是思念的愁,1
151,结婚了吗,1
152,现在咋样了,1
153,想知道成都人听这首歌是什么感受啊,2
154,青海还好有西海情歌,1
155,幸福好吗,1
156,赵雷他真的值得他的才华与努力坚持值得这个价值,1
157,好一个自然而然的真情,1
158,有没有哪个靓仔说一下这个歌曲评分是不是特定的歌才能评的哇,1
159,我终于也来了成都,2
160,我和你的关系就像南京的上海路和上海的南京路看似非常亲密但却毫无关联,1
161,抱抱你,1
162,分别总是在九月九月份又要跟老朋友分别认识新朋友啦,1
163,祝你们幸福,1
164,考古幸福死了吗,1
165,然后年眼看着也要过去一半了,1
166,特别放松,1
167,分别总是在九月,1
168,抱抱你孩子,1
169,初中时候哼这曲悠扬小调的姑娘已多年未见,1
170,找个男朋友一起听歌呀,1
171,好久好久的歌,1
172,都会好的,1
173,死了三年半了,1
174,我还记得小酒馆的门口,1
175,为什么又是这首歌上一个是喜欢这歌这个是去了这里我不懂成都也不懂你,0
176,咋样了,1
177,年了还有人听吗,1
178,或许我和你一样降一下或许就不会分开了,1
179,感谢歌手,1
180,没啥,1
181,啥,1
182,有的,1
183,他她们会等你的下辈子他她们还要做你的父母呢,1
184,成都玉林路的尽头有小酒馆吗,2
185,这都是我们曾经逝去的青春,1
186,真滴,1
187,你一定能考上的,1
188,明天就专升本考试不知道未来的我会是怎么样感谢这些天自己的付出加油,9
189,这首歌很不错的,1
190,余光都是你,1
191,谢谢我会加油的,9
192,我也觉得,1
193,真快,1
194,阔别天府十五载独自一人漫步在成都的地铁里听赵雷的成都,8
195,加油一定能成功相信自己送你一句我最喜欢的话再见少年拉满弓不惧岁月不惧风,5
196,只看评论就知道是山东人,9
197,百听不厌,1
198,无论我们最后生疏成什么样子曾经对你的好都是真的就算终有一散也别辜负相遇希望你不后悔认识我也是真的快乐过如果能回到以前我会选择不认识你不是我后悔是我不能面对现在的结局,1
199,我在现场,1
200,上一次听成都的时候好像还是上初中那会初三那年我们周六晚上上着自习课英语老师打开电脑的大屏幕里边放着成都我们闭上眼睛休息音乐真的很神奇听到一首歌时仿佛自己又回到了当年那个情景,4
201,同道中人,1
202,好巧我也是突然回忆到这首歌来听顺便看评论,9
203,哈哈哈这头像是不是有点可爱,1
204,加油,9
205,初三喜欢听的歌,3
206,为什么你的头像是蛋仔,1
207,还记得以前我在我之前的学校时我有一个朋友就很喜欢这道歌他唱得也很好可是我转学了直到现在一个联系方式都没有,3
208,现在怎么样了,1
209,现在呢,1
210,现在孩子也有了,1
211,听的不是成都听的是赵雷,4
212,没有呀听到这里还特意去看了是几万不是一百多万呀,1
213,带着小姨子跑了,1
214,有成都的小伙伴吗,2
215,恭喜恭喜,1
216,成功没,1
217,看完你的文字瞬间我泪流满面,1
218,小孩都岁了吧,1
219,很治愈在每一个夜晚听这首歌都有不一样的感觉,1
220,讓我感到為難的是掙扎的自由你會挽著我的衣袖我會把手揣進褲兜,1
221,还剩六十多天中考了现在凌晨快十二点半我先早早睡了明天又是一定要努力的一天啊无论如何能进步一分是一分中考我要一定要上岸我要对自己有信心,1
222,我也是第一首民谣成都,4
223,月日雷子会在成都唱成都吗呜呜呜,2
224,二线表示只有稀稀拉拉的几颗,1
225,夺笋,1
226,其实我们都想做正真的自己而不是被迫的活着,1
227,好害怕一吃大白兔奶糖就会想起你,1
228,陈彤彤吃糖糖是大白兔哟,1
229,愿能考一个好成绩,1
230,加油,9
231,单曲循环听不腻,1
232,您還好嗎,1
233,哭,1
234,我听的第一首民谣是成都我会唱的第一首民谣也是成都也许很多人都是从成都开始认识民谣多年过去再听成都还是那么美好平静就算是历经了疫情的洗礼内心已无当年那么平平淡淡依旧可以找到内心栖息灵魂的一角,4
235,感谢赵小雷给杭州湘湖带来了全场大合唱的成都昨晚第一次领略到了你音乐的魅力如果有机会我也想去你音乐中的成都在那街头等灯都熄灭,7
236,入魂,1
237,你说过成都有一句歌词可以形容向往的生活等真的从我的世界里消失的时候我才知道我自己是真的想念你但是到现在我也不知道你说的是哪一句歌词你会挽着我的衣袖我会把手揣进裤兜是这句吗可是怎么办呢你看不到了,7
238,一切都是在想我什么也给不了她没关系但不能剥夺她被爱的权利也不能剥夺她现在拥有的一切一点点也不行,1
239,我现在开始学吉他了早晚我要学会这首歌,1
240,泪目了,1
241,谢谢你,1
242,年了我在成都等你,2
243,人么活在世上都希望没病可惜谁能控制的了病魔呢没钱可以接有了病哎哒希望天下所有的人健健康康,1
244,谢谢,1
245,加油,9
246,这猛,1
247,我到河北省来,1
248,陈怡梦,1
249,听懂了歌词世上只要妈妈好,1
250,听着老感动了,1
251,不是所有人都想你一样有说走就走的勇气,1
252,热知识,1
253,加油,9
254,以后有钱了我也要去四川旅游,1
255,到了成都确实有这种感觉,4
256,早,1
257,昆明哪一站,1
258,两个月后一定要去一次成都,2
259,毕业快一年了好想回四川吃冒菜和冰粉,1
260,毕业快一年了好想回四川吃冒菜喝冰粉,1
261,不要和妈妈说难过的事她帮不上忙也睡不着觉,1
262,分开了冬天还能一起去成都吗,2
263,今天莫名其妙心情不好下班回来带女儿她一直不睡觉气的我对她大声吼了一句她吓得直哭吼完就后悔把女儿哄睡后自己睡不着想到很多事就觉得很难过自己一个人默默听歌然后躲在被窝里偷偷哭,1
264,很久以前有个姑娘因为一个人而爱上一座城那个岁的她多单纯又天真呀,1
265,今晚的湘湖音乐节有人在这首歌的时候求婚给我感动得,1
266,加油哥,9
267,兄弟前途永远比爱情重要,1
268,再见了成都你的称不准,2
269,你还好吗,1
270,距年高考还有天愿所有考生考上理想大学,1
271,太好听了,9
272,抱抱,1
273,乡下,1
274,并不美好美好转瞬即逝,1
275,抱抱,1
276,必点,1
277,必点歌,1
278,你给我唱的第一首歌是成都年到年好了要结束了我是真的要放弃你了,2
279,一个月瘦了斤,1
280,从小在香港长大网上都说成都很好有机会好想去看看,2
281,因为你一句在成都走一走我在太古里走的就没走出来,2
282,想你么么,1
283,心疼,1
284,优等的心不必华丽但必须坚固,1
285,终于去了自己最喜欢的歌里说的城市了成都玉林路的小酒馆宽窄春熙路锦里,6
286,马上就要考护士资格证了现在真的很累背不完的东西学不完的知识,1
287,马上就要考护士资格证了现在真的很累背不完的东西学不完的知识,1
288,马上就要考护士资格证了现在真的很累背不完的东西学不完的知识,1
289,加油加油加油,9
290,成都是一个城市,4
291,爱死赵雷了,1
292,还有多天高考了虽然很紧张和疲惫但是我不敢停歇,1
293,抱你,1
294,北京有北京欢迎你,1
295,当年第一次听杀死那个石家庄人还以为是恶搞还纳闷我们石家庄人怎么伤害你了呢,1
296,丽江有再也不去丽江,1
297,其实听这首歌很久了只是好像才发现这条评论突然忍不住笑出声,9
298,对不起我没忍住哈哈哈哈哈哈哈哈哈哈或或或或或或或或,1
299,这条评论已经快三年了这辈子一定要和亲爱的的姑娘一起去一次成都去看一次赵雷的演唱会一起加油,7
300,真的有这个歌杀死那个石家庄人,1
301,雷子一定看到你的评论了请继续支持赵小雷,9
302,现在是年月日星期四点分就所有的人都幸福,1
303,他们说你的赞网易第一多所以我也赞个毕竟人多热闹呵呵,1
304,石家庄人儿给你十万个赞,1
305,我们云南只有老司机带带我,1
306,我是北京的嫁到南昌石家庄也有朋友哈哈哈,1
307,你怕是不知道以前网易还有周杰伦版权的时候,1
308,好多赞是不是网易云第一多赞的,1
309,心情复杂,1
310,突然被到,1
311,石家庄还有赵子龙啊,1
312,不是还有石家庄赵子龙吗,1
313,我觉得最惨的还是昆明人老司机带带我,1
314,点进你的主页看到哈哈哈哈评论啊看着这么多人问啥时去听天堂,9
315,祝福你两年了孩子也这么大了请幸福下去,9
316,可惜万的点赞率居然得不到赵雷的评论,9
317,看完评论迫不及待的点开你的资料然后还在一起我就放心了孩子都有了哈哈哈好开心啊眼睛都红了祝福你们愿天下有情人终成眷属,9
318,听吧听完了就不用浪费机票钱了,1
319,可能都是庄里人吧,1
320,二营长你他娘的意大利炮呢赶紧给秀儿轰一桶爆米花吃,1
321,现在石家庄还有了一个注销帐号的你,1
322,广东十年爱情故事热评有一百多万人赞了,1
323,你的赞应该是网易第一多吧,1
324,我们南昌连名字都没有,1
325,老弟那你听不听东京热,1
326,看你头像现在是有宝宝了吗真好希望你一直幸福下去,1
327,明日复明日明日有的是有没有觉得今年过的很快还没来得及喘气就快来了还记得年初许下的愿望吗到今天都实现了吗恋人找到了吗减肥成功了吗挂科了吗爱人还爱你吗工作找到了吗四六级过了吗照顾好自己了吗陌生人我也为你祝福愿你有情人终成眷属,9
328,祝福祝福,9
329,恭喜恭喜,1
330,我建议你听一下天路,1
331,我们温州只有皮革厂,1
332,别把怕死说的这么文艺,1
333,为什么他们成都有成都你们石家庄有只能杀死那个石家庄人而我们遵义只有遵义板车,2
334,我给你个赞,1
335,哈哈杀死那个石家庄人,1
336,你可以听一下第三极,1
337,我想知道你们领过证了嘛,1
338,我喜欢石家庄这个地方,5
339,浙江温州浙江温州江南皮革厂倒闭了,1
340,这个得问万青哈哈哈,1
341,你们石家庄有风里雨里高速路口等你,1
342,这个评价我在好多首歌的评价里看到过了,1
343,祝贺你们啊要幸福哦,1
344,祝幸福哈哈,1
345,你们河北还有关于郑州的回忆呢,1
346,我生日最喜欢的数字,3
347,虽然我是一个单身狗但是我也能说一句祝福,9
348,老哥稳,1
349,每次看到这评论都很感动如果这都不算爱,9
350,小伙子你很厉害,1
351,加油吧骚年,9
352,歌手之后再没听过成都也许自私心作祟吧,2
353,会因为这首歌去成都走一走成都没什么朋友一个人旅行,2
354,有些地方没有去过但觉得自己就是属于那个地方考研报了成都的学校复试刚结束对自己很失望现在在机场要回山东了对不起自己没有能力去到想去的这个地方,7
355,哈哈哈哈哈哈哈这就很有前途了哈哈哈哈哈哈哈哈哈哈哈哈哈,1
356,你太逗了笑死我了,1
357,相见恨晚了这嗓音歌词旋律激起我心理深处很多自己都已经渐渐遗忘的很多很多,1
358,每晚睡前打开网易看到有私信点赞的消息就觉得很暖和陌生人喜欢同一首歌也挺好的,5
359,对一座城市的感情实际上是对一个人的感情你不在这里风景独好于我都是索然无味你在这里阴天阳光菜市场什么都刚刚好,1
360,欢迎去听周杰伦的晴天,1
361,为什么分手呢,1
362,戏剧性的缘分最合拍的那个人,1
363,我可能是个假四川人,1
364,这是评论最多的歌吗,9
365,睡不着跑来听歌,1
366,岑慧能,1
367,我一直感觉对它欠着一笔巨债,1
368,反复听这首歌反复纠结希望能遇到那个让我牵手从心动到古稀的女孩儿走吧去成都天亮就出发,4
369,的晚上我们分手了也许是我们的感情有质量问题吧听到成都想到了我们在郑州的点点滴滴我不想忘了你你永远都是我的公主,4
370,兄弟是一个肖蜀君贵州铜仁,1
371,同感,1
372,好虐啊老子单身,1
373,交个朋友呗,1
374,活该,1
375,可怜,1
376,和我在成都都的街头走一走哦哦直到所有的灯都熄灭了也不停留我一直在寻找明年能和我一起去想去的地方的人祈祷我在成行之前找到,7
377,第一次听到这首歌在日光倾城的拉萨莫名的掉眼泪那句想和你在成都的街头走一走剜心的疼着当时很迷惘不知要浪迹哪个城市他说要不你去成都吧义无反顾的偷偷跑去成都没等到他我又落荒而逃了成都是起点也是我们的终点再也没耐心的安静等一个人了,4
378,因为一首成都我就来了成都真的很好明天去成都,2
379,昨天早上一点四十三收到奶奶去世的消息带着一份茫然从双流机场告别了带走我五年时光的成都一路上听着这同一首歌眼泪终于突破了眼睛的封锁落在了我曾爱过的土地上再见成都,2
380,半夜睡不着或许是我太敏感想太多,1
381,在这首歌评论了无数次只因为我爱着你今天吵架了你不许抱不许牵手啥都不许无论你怎么样我爱你爱你的全部不开心的时候你打我骂我我跪下求你别不理我因为那种感觉像是被全世界抛弃了一般我从来没爱过一个人到这种程度我要你好好的然后毕业结婚给你想要的未来这就是我的幸福,9
382,赵雷没上歌手前有多少人知道成都有现在这么火吗,4
383,我曾经喜欢一个人我现在喜欢一个人,3
384,加油呀,9
385,赵雷那首南方姑娘很早就让他火了,1
386,之前没有去过成都听了成都之后突然很想去成都晚上走在街头喝点小酒吃着名吃怀念一下过往,8
387,年月号偶然听到成都这首歌一下子就忘不了一听就是半年了赵雷然后就火了,7
388,我爱南京我爱李逼,1
389,快来让我看看,1
390,走走走一起去成都,2
391,不喜欢成都歌还是很棒的,0
392,唔喔唔喔大学毕业不愿回农村虽然在城市里也没啥发展可是我不甘心啊真的不甘心,1
393,因为不敢杀城市石家庄是要杀人哈哈哈哈哈哈,1
394,五年前有一个男生也为了和我在同一个城市读书而放弃一本可我却辜负了他直到今天我才知道自己对他造成的伤害有多大我不懂他有没有后悔但是我很后悔,1
395,我操这才是网易云音乐最高赞,1
396,这个版本是歌手版吗梁翘柏制作的,1
397,祝我结婚六周年愉快,1
398,我在阜阳听成都,2
399,我在西安也是独自一人走在路灯下手揣进裤兜,1
400,趁他还在趁你未老,1
401,你可以很好让不开心的事都见鬼去吧,1
402,睡前又习惯性的想了哈你希望我在想你的时候你也偷偷的想哈我吧晚安成都的你等那天足够疯狂就买票去找你吧但是又怕看到你和另一个女生在一起额随你去吧或许在过会儿我就不想成都了晚安,8
403,不想去成都想去天堂什么折磨都没有的那种,2
404,同在石家庄,1
405,妈的看评论就是虐单身狗我就一个人不行吗,9
406,一首成都勾起了许多回忆,4
407,真的点了好多次了,1
408,当初你最爱听这首歌我自己录了一下你说我唱不出赵雷的忧伤现在我可以唱好了但是你人在哪,1
409,你这么喜欢这首歌你知道它背后的故事么,5
410,经典你是凡人素素你老公就算是天上太子爱你到死也护不了你周全想挖眼就挖眼折颜上神没有因为素素长的像白浅就伸手救她亲侄女见到也没帮忙只有你是白浅上神青丘女帝四海八荒都朝拜你夜华爱素素天君就要弄死她夜华爱白浅天族青丘就加急操办婚礼,1
411,我来到有你的城市却不知道用何种理由去见你,1
412,虽然我跟成都扯不上啥关系但这首歌真的非常好听,4
413,作为刚毕业二十出头的人我只是在挣扎着不被这个世界湮灭说的冠冕一点我只是尽力在过我的小日子,1
414,雷子最会装逼的男人很悲哀他火了不是因为我喜欢他而自私的不想和其他人分享而是悲哀现在的年轻人活在童话里小姑娘失恋情人总会爱上他可是听多了你会发现他的歌曲浪费着我们的情怀我不否认他的歌曲美妙动听但我们不要带着过多的情怀过分的投入,3
415,余生都给成都,2
416,每次听成都都会掉眼泪我阅读理解不好我也不知道自己听懂了什么想起了什么自己在青岛我喜欢把手揣进裤兜,0
417,每次听到童声之前的停顿我都憋着一口气,1
418,啊哈哈哈哈哈哈不要这样,1
419,都这么久了呢,1
420,都这么久了呢,1
421,听歌是为了睡觉单曲循环脑里其实真的很想他可是一想到他还有别的她她她想他就咽进了肚里脑子里无时无刻不想他活在他的影子里走不出去他曾那么疼爱我千般疼爱却改变不了他会遇见她她她我的任性让我失去了他无数次想问你,1
422,我和她出去她还会下意识的和我拉开距离呢起码比我好咯,1
423,这首成都太火了和你一起去过小酒馆去过九眼桥的酒吧看过太多场电影学校西门的厕所的串串不知吃过多少次老板已经认得我们了可我只记得,2
424,好我要去看看我家杰伦,1
425,喜欢一个成都的姑娘突然就喜欢上了这首歌或许如歌词所说成都带不走的只有你但我已褪尽一身伤感走在前进的路上或许得不到的你才最美丽但也原谅我无法再用大量的时间去关注你因为生活中并不是有你有远方过去的风景也是前进的助力,0
426,成都你等我大概年后,2
427,现在居然有些怀念以前有尖叫有杂音的版本了,1
428,哈哈哈我明天也要去小酒馆喝酒,1
429,我只希望听着歌听着别人的故事,1
430,好励志的故事可以拍电视剧了的赶脚,9
431,光伴奏就已经好听得不行,9
432,矮戳穷,1
433,再听成都甚有感觉一个我向往了三年的地方一个我喜欢的人成长的地方它是成都她姓卫鼻鼻鼻鼻,6
434,不会再有那个抱着吉他在晚上唱歌录给我的男孩子了我也是真的欣赏他的才华可也只是欣赏才华,1
435,唉人死不能复生节哀顺变,1
436,接到推送的都是靓仔美人,1
437,因为他听得成都也喜欢这首歌不过他走了歌还在,0
438,我不陪对你温柔,1
439,可以看看,1
440,连着两天给我推这首歌可是我不想点红心啊,1
441,举报你秀恩爱,1
442,周杰伦的晴天你可以去看看,1
443,笑死老子了,1
444,雷子你终于火了有时间再来老胡同吃碗爆肚吧,1
445,大街小巷都是这首歌,1
446,二十三万评论了还有那首歌可以做到,9
447,抱抱,1
448,都说好听我没听然后日推好吧那就听一听可以,1
